model,row_accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,log_loss,choice_set_accuracy,top2_accuracy,cv_roc_auc_mean,cv_roc_auc_sd
Logit-basic,0.6981132075471698,0.6666666666666666,0.4266666666666667,0.6037735849056604,0.5,0.7068945057553103,0.6413968993576382,0.5847639154222939,0.5849056603773585,0.7358490566037735,0.7968119282214706,0.04883030396961405
Logit-engineered,0.8018867924528302,0.7735849056603774,0.5846153846153846,0.7169811320754716,0.6440677966101694,0.8380206479174084,0.7618329803173848,0.45091050342473504,0.6981132075471698,0.8490566037735849,0.884830796912938,0.034379559783010445
Logit+segments,0.7971698113207547,0.770440251572327,0.5757575757575758,0.7169811320754716,0.6386554621848739,0.8352913255013646,0.7624061158366934,0.44967243812956137,0.6981132075471698,0.8490566037735849,0.8855031786550468,0.035626820452835724
RandomForest+segments,0.9622641509433962,0.9433962264150944,0.9411764705882353,0.9056603773584906,0.9230769230769231,0.9718761124955501,0.9521482873508821,0.2955204818051959,0.9433962264150944,0.9622641509433962,0.9661333002731529,0.020481997697900975
ExtraTrees+segments,0.8443396226415094,0.8333333333333334,0.6515151515151515,0.8113207547169812,0.7226890756302521,0.9111190221905778,0.8577015543359457,0.49031163023899277,0.7547169811320755,0.9622641509433962,0.9262270882110648,0.01999950555346688
XGBoost+segments,0.9622641509433962,0.949685534591195,0.9245283018867925,0.9245283018867925,0.9245283018867925,0.9851667259997626,0.9658368766915949,0.19598681068854398,0.9245283018867925,0.9622641509433962,0.9720224836325009,0.02311283006019556
